repository,sha,ai_label,final_label,confidence,decision
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,LOW_VALUE,USEFUL,95,OVERRIDE
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,LOW_VALUE,LOW_VALUE,95,ACCEPT
encode/httpx,544038155382473ce87b17ef2238c96e48dee700,LOW_VALUE,LOW_VALUE,95,SKIP
psf/requests,9c72a41bec8597f948c9d8caa5dc3f12273b3303,LOW_VALUE,LOW_VALUE,92,ACCEPT
pallets/flask,53b8f08218796d95764c5252bccd8a50a173a6fb,UNCERTAIN,UNCERTAIN,60,ACCEPT
psf/requests,b336cb2bc616a63a93c6470c558fc1f576b77f90,LOW_VALUE,LOW_VALUE,92,ACCEPT
encode/httpx,544038155382473ce87b17ef2238c96e48dee700,UNCERTAIN,UNCERTAIN,60,ACCEPT
psf/requests,9c72a41bec8597f948c9d8caa5dc3f12273b3303,LOW_VALUE,LOW_VALUE,92,ACCEPT
psf/requests,b336cb2bc616a63a93c6470c558fc1f576b77f90,LOW_VALUE,LOW_VALUE,92,ACCEPT
psf/requests,6716d7c9f29df636643fa2489f98890216525cb0,UNCERTAIN,UNCERTAIN,60,ACCEPT
encode/httpx,544038155382473ce87b17ef2238c96e48dee700,UNCERTAIN,UNCERTAIN,60,ACCEPT
psf/requests,9c72a41bec8597f948c9d8caa5dc3f12273b3303,LOW_VALUE,LOW_VALUE,92,ACCEPT
pallets/flask,53b8f08218796d95764c5252bccd8a50a173a6fb,USEFUL,USEFUL,94,ACCEPT
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,LOW_VALUE,LOW_VALUE,90,ACCEPT
encode/httpx,544038155382473ce87b17ef2238c96e48dee700,UNCERTAIN,UNCERTAIN,60,ACCEPT
psf/requests,9c72a41bec8597f948c9d8caa5dc3f12273b3303,LOW_VALUE,LOW_VALUE,92,ACCEPT
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,LOW_VALUE,LOW_VALUE,90,SKIP
encode/httpx,544038155382473ce87b17ef2238c96e48dee700,UNCERTAIN,UNCERTAIN,60,SKIP
psf/requests,9c72a41bec8597f948c9d8caa5dc3f12273b3303,LOW_VALUE,LOW_VALUE,92,SKIP
pallets/flask,53b8f08218796d95764c5252bccd8a50a173a6fb,USEFUL,USEFUL,94,SKIP
psf/requests,b336cb2bc616a63a93c6470c558fc1f576b77f90,LOW_VALUE,LOW_VALUE,92,SKIP
psf/requests,6716d7c9f29df636643fa2489f98890216525cb0,UNCERTAIN,UNCERTAIN,60,SKIP
pallets/flask,fe3b215d3ade4db68262dae1a3cdc464a1fc524f,USEFUL,USEFUL,94,SKIP
scikit-learn/scikit-learn,2fd6fa45c2fc181233a75731aceb1def654743c3,USEFUL,USEFUL,94,SKIP
django/django,719386e876073ed7f3a0a5abdb40058e7a4402a4,USEFUL,USEFUL,92,SKIP
psf/requests,a2ce3d8ace060b0c8446bc956e3853806dd4e3bb,LOW_VALUE,LOW_VALUE,90,SKIP
django/django,be8d1b628533ac38d2771356e92ade1d61d3f059,USEFUL,USEFUL,94,SKIP
django/django,4bbc27c8686f10f9556cef02dbfa9f5157fbcf56,USEFUL,USEFUL,94,SKIP
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,LOW_VALUE,LOW_VALUE,90,SKIP
encode/httpx,544038155382473ce87b17ef2238c96e48dee700,UNCERTAIN,UNCERTAIN,60,SKIP
psf/requests,9c72a41bec8597f948c9d8caa5dc3f12273b3303,LOW_VALUE,LOW_VALUE,92,SKIP
pallets/flask,53b8f08218796d95764c5252bccd8a50a173a6fb,USEFUL,USEFUL,94,SKIP
psf/requests,b336cb2bc616a63a93c6470c558fc1f576b77f90,LOW_VALUE,LOW_VALUE,92,SKIP
psf/requests,6716d7c9f29df636643fa2489f98890216525cb0,UNCERTAIN,UNCERTAIN,60,SKIP
pallets/flask,fe3b215d3ade4db68262dae1a3cdc464a1fc524f,USEFUL,USEFUL,94,SKIP
scikit-learn/scikit-learn,2fd6fa45c2fc181233a75731aceb1def654743c3,USEFUL,USEFUL,94,SKIP
django/django,719386e876073ed7f3a0a5abdb40058e7a4402a4,USEFUL,USEFUL,92,SKIP
psf/requests,a2ce3d8ace060b0c8446bc956e3853806dd4e3bb,LOW_VALUE,LOW_VALUE,90,SKIP
django/django,be8d1b628533ac38d2771356e92ade1d61d3f059,USEFUL,USEFUL,94,SKIP
django/django,4bbc27c8686f10f9556cef02dbfa9f5157fbcf56,USEFUL,USEFUL,94,SKIP
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,"📝 Update release notes

[skip ci]",LOW_VALUE,90,LOW_VALUE,ACCEPT
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,"📝 Update release notes

[skip ci]",LOW_VALUE,90,LOW_VALUE,ACCEPT
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,"📝 Update release notes

[skip ci]",LOW_VALUE,90,LOW_VALUE,ACCEPT
encode/httpx,544038155382473ce87b17ef2238c96e48dee700,Update CHANGELOG.md (#3374),LOW_VALUE,90,LOW_VALUE,SKIP
